Date,Close,Tipe
2015-02-02,37.63591766357422,Real
2015-02-03,38.0473861694336,Real
2015-02-04,38.57455825805664,Real
2015-02-05,38.58741760253906,Real
2015-02-06,38.703155517578125,Real
2015-02-09,36.45296859741211,Real
2015-02-10,34.11920166015625,Real
2015-02-11,34.3635139465332,Real
2015-02-12,34.63996124267578,Real
2015-02-13,34.6721076965332,Real
2015-02-17,34.665672302246094,Real
2015-02-18,34.569244384765625,Real
2015-02-19,34.4406623840332,Real
2015-02-20,34.55638122558594,Real
2015-02-23,34.89069366455078,Real
2015-02-24,35.19285583496094,Real
2015-02-25,35.212135314941406,Real
2015-02-26,35.21858215332031,Real
2015-02-27,35.05784606933594,Real
2015-03-02,35.03213119506836,Real
2015-03-03,35.46931838989258,Real
2015-03-04,35.09000778198242,Real
2015-03-05,35.27643585205078,Real
2015-03-06,34.9421272277832,Real
2015-03-09,35.077144622802734,Real
2015-03-10,34.742828369140625,Real
2015-03-11,35.334312438964844,Real
2015-03-12,36.12507629394531,Real
2015-03-13,35.67524337768555,Real
2015-03-16,35.90926742553711,Real
2015-03-17,36.24080276489258,Real
2015-03-18,36.70883560180664,Real
2015-03-19,36.92335891723633,Real
2015-03-20,37.94395446777344,Real
2015-03-23,37.618927001953125,Real
2015-03-24,37.57342147827149,Real
2015-03-25,36.70232772827149,Real
2015-03-26,36.87784576416016,Real
2015-03-27,37.02086639404297,Real
2015-03-30,37.83993148803711,Real
2015-03-31,37.54091262817383,Real
2015-04-01,37.63192367553711,Real
2015-04-02,37.852935791015625,Real
2015-04-06,38.40549087524414,Real
2015-04-07,37.826927185058594,Real
2015-04-08,37.38489532470703,Real
2015-04-09,36.72183609008789,Real
2015-04-10,37.37189865112305,Real
2015-04-13,37.742431640625,Real
2015-04-14,38.13896942138672,Real
2015-04-15,37.75542831420898,Real
2015-04-16,37.4369010925293,Real
2015-04-17,37.11187744140625,Real
2015-04-20,37.456390380859375,Real
2015-04-21,37.50191116333008,Real
2015-04-22,37.77494430541992,Real
2015-04-23,38.0024528503418,Real
2015-04-24,37.89845275878906,Real
2015-04-27,37.2288818359375,Real
2015-04-28,36.578834533691406,Real
2015-04-29,36.04576873779297,Real
2015-04-30,35.71424865722656,Real
2015-05-01,35.89625930786133,Real
2015-05-04,36.32530212402344,Real
2015-05-05,36.123783111572266,Real
2015-05-06,35.92226028442383,Real
2015-05-07,36.006771087646484,Real
2015-05-08,36.20829391479492,Real
2015-05-11,35.71424865722656,Real
2015-05-12,35.564720153808594,Real
2015-05-13,35.47372055053711,Real
2015-05-14,35.5582160949707,Real
2015-05-15,35.629737854003906,Real
2015-05-18,35.83776092529297,Real
2015-05-19,35.94175720214844,Real
2015-05-20,35.83125305175781,Real
2015-05-21,35.71424865722656,Real
2015-05-22,35.616737365722656,Real
2015-05-26,36.0197639465332,Real
2015-05-27,36.38380813598633,Real
2015-05-28,36.47481155395508,Real
2015-05-29,36.19529342651367,Real
2015-06-01,36.20178985595703,Real
2015-06-02,36.20829391479492,Real
2015-06-03,36.72835159301758,Real
2015-06-04,36.59832000732422,Real
2015-06-05,36.52030944824219,Real
2015-06-08,36.50081634521485,Real
2015-06-09,36.33517837524414,Real
2015-06-10,36.36803817749024,Real
2015-06-11,36.40747833251953,Real
2015-06-12,36.31545639038086,Real
2015-06-15,36.23001480102539,Real
2015-06-16,36.57837677001953,Real
2015-06-17,36.650672912597656,Real
2015-06-18,37.07134246826172,Real
2015-06-19,37.590599060058594,Real
2015-06-22,37.8140869140625,Real
2015-06-23,37.70893096923828,Real
2015-06-24,37.28824615478516,Real
2015-06-25,37.15022277832031,Real
2015-06-26,37.367130279541016,Real
2015-06-29,36.59151458740234,Real
2015-06-30,36.57837677001953,Real
2015-07-01,36.992469787597656,Real
2015-07-02,36.67040252685547,Real
2015-07-06,36.85443115234375,Real
2015-07-07,37.16335678100586,Real
2015-07-08,36.920166015625,Real
2015-07-09,36.60466766357422,Real
2015-07-10,36.8281478881836,Real
2015-07-13,37.091064453125,Real
2015-07-14,37.04505157470703,Real
2015-07-15,37.261962890625,Real
2015-07-16,37.38684844970703,Real
2015-07-17,37.24223709106445,Real
2015-07-20,37.20937728881836,Real
2015-07-21,37.11077499389648,Real
2015-07-22,37.16994094848633,Real
2015-07-23,37.05163192749024,Real
